pathway_id	reaction_id	reaction_name	uniprot_acc	role_in_reaction
R-HSA-1059683	R-HSA-1067640	IL6 binds IL6R-2	P05231	[input, output]
R-HSA-1059683	R-HSA-1067640	IL6 binds IL6R-2	P08887	[input, output]
R-HSA-1059683	R-HSA-1067646	JAK1,JAK2,(TYK2) bind IL6ST	O60674	[input, output]
R-HSA-1059683	R-HSA-1067646	JAK1,JAK2,(TYK2) bind IL6ST	P23458	[input, output]
R-HSA-1059683	R-HSA-1067646	JAK1,JAK2,(TYK2) bind IL6ST	P29597	[input, output]
R-HSA-1059683	R-HSA-1067646	JAK1,JAK2,(TYK2) bind IL6ST	P40189	[input, output]
R-HSA-1059683	R-HSA-1067651	IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2)	O60674	[input, output]
R-HSA-1059683	R-HSA-1067651	IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2)	P05231	[input, output, negative]
R-HSA-1059683	R-HSA-1067651	IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2)	P08887	[input, output, negative]
R-HSA-1059683	R-HSA-1067651	IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2)	P23458	[input, output]
R-HSA-1059683	R-HSA-1067651	IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2)	P29597	[input, output]
R-HSA-1059683	R-HSA-1067651	IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2)	P40189	[input, output, negative]
R-HSA-1059683	R-HSA-1067659	Assembly of hexameric IL-6 receptor	O60674	[input, output]
R-HSA-1059683	R-HSA-1067659	Assembly of hexameric IL-6 receptor	P05231	[input, output]
R-HSA-1059683	R-HSA-1067659	Assembly of hexameric IL-6 receptor	P08887	[input, output]
R-HSA-1059683	R-HSA-1067659	Assembly of hexameric IL-6 receptor	P23458	[input, output]
R-HSA-1059683	R-HSA-1067659	Assembly of hexameric IL-6 receptor	P29597	[input, output]
R-HSA-1059683	R-HSA-1067659	Assembly of hexameric IL-6 receptor	P40189	[input, output]
R-HSA-1059683	R-HSA-1067667	IL6 binds IL6R	P05231	[input, output]
R-HSA-1059683	R-HSA-1067667	IL6 binds IL6R	P08887	[input, output, negative]
R-HSA-1059683	R-HSA-1067676	IL6:IL6R-2 binds IL6ST-2	P05231	[input, output]
R-HSA-1059683	R-HSA-1067676	IL6:IL6R-2 binds IL6ST-2	P08887	[input, output]
R-HSA-1059683	R-HSA-1067676	IL6:IL6R-2 binds IL6ST-2	P40189	[input, output]
R-HSA-1059683	R-HSA-1067688	IL6:IL6R binds IL6ST:JAK1,JAK2,(TYK2)	O60674	[input, output]
R-HSA-1059683	R-HSA-1067688	IL6:IL6R binds IL6ST:JAK1,JAK2,(TYK2)	P05231	[input, output]
